"Taxa"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter"	0.0186666666666667	0.00444444444444444	0.00155555555555556	0.002	0	0.000444444444444444	0.00355555555555556	0.00511111111111111	0.00111111111111111	0	0.000666666666666667	0	0.00111111111111111	0.00111111111111111	0.00177777777777778	0	0.00844444444444444	0.00422222222222222	0.00488888888888889	0	0.00577777777777778	0.00866666666666667	0	0.000222222222222222	0.000444444444444444	0.000444444444444444	0.00688888888888889	0.000666666666666667	0.000444444444444444	0.000888888888888889	0.00555555555555556	0.00666666666666667	0	0.0108888888888889	0.000888888888888889	0.0115555555555556	0.000222222222222222	0.000666666666666667	0.00111111111111111	0.000888888888888889	0	0.000888888888888889	0	0.000222222222222222	0	0.00155555555555556	0	0	0.00711111111111111	0	0	0.000222222222222222	0.000444444444444444	0.00422222222222222	0	0	0.000222222222222222	0	0.000222222222222222	0	0	0.0315555555555556	0.000444444444444444	0	0.00111111111111111	0.00111111111111111	0.000222222222222222	0.0431111111111111	0	0	0	0.00577777777777778	0	0	0	0.00533333333333333	0	0	0	0	0	0.000666666666666667	0.000444444444444444	0	0.000222222222222222	0.00177777777777778	0	0	0	0	0	0.00266666666666667	0.000111111111111111	0.000888888888888889	0.000222222222222222	0.00466666666666667	0	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0.00133333333333333	0.000222222222222222	0.00466666666666667	0.000222222222222222	0	0.000444444444444444	0.002	0.00155555555555556	0.00866666666666667	0	0.000666666666666667	0	0.000666666666666667	0.000888888888888889	0.00222222222222222	0	0.00111111111111111	0.00222222222222222	0.000444444444444444	0.000222222222222222	0.002	0.00111111111111111	0.000444444444444444	0	0.000444444444444444	0	0.000222222222222222	0	0.00155555555555556	0.000444444444444444	0.00177777777777778	0.000222222222222222	0.000222222222222222	0.00288888888888889	0.000666666666666667	0.00533333333333333	0.000222222222222222	0.002	0.00111111111111111	0.000222222222222222	0	0	0	0	0.000222222222222222	0	0	0	0.000444444444444444	0.000222222222222222	0.000666666666666667	0.00133333333333333	0.000222222222222222	0.000666666666666667	0.000444444444444444	0	0	0	0.000888888888888889	0	0.000222222222222222	0.0828888888888889	0	0.000444444444444444	0.00666666666666667	0.00244444444444444	0.000222222222222222	0.00377777777777778	0	0	0.000444444444444444	0.00488888888888889	0.000222222222222222	0	0	0.00711111111111111	0	0	0.000222222222222222	0	0.000444444444444444	0.0195555555555556	0	0.000444444444444444	0.000444444444444444	0.0215555555555556	0	0.000666666666666667	0.000222222222222222	0	0.000222222222222222	0.0108888888888889	0.000111111111111111	0.00577777777777778	0	0.00444444444444444	0.000444444444444444	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0	0	0.00755555555555556	0	0	0	0	0	0.0126666666666667	0	0.000222222222222222	0	0	0	0.01	0.00288888888888889	0	0	0.00666666666666667	0	0	0.000222222222222222	0	0	0	0.00111111111111111	0.000222222222222222	0.00377777777777778	0.00733333333333333	0	0	0.0195555555555556	0.000222222222222222	0	0	0.000222222222222222	0.000888888888888889	0.000222222222222222	0.002	0	0	0.00488888888888889	0.014	0.000222222222222222	0.00355555555555556	0.00666666666666667	0	0	0	0.00733333333333333	0	0.00777777777777778	0.00355555555555556	0	0.00355555555555556	0	0.000666666666666667	0	0	0	0.000666666666666667	0	0.00977777777777778	0	0	0.000666666666666667	0	0.000222222222222222	0.00711111111111111	0	0.000222222222222222	0	0.00955555555555555	0	0.000666666666666667	0.000222222222222222	0.00688888888888889	0	0	0.00511111111111111	0.00511111111111111	0.000888888888888889	0.00933333333333333	0.0195555555555556	0.00266666666666667	0	0	0	0	0.00466666666666667	0	0	0	0	0.00333333333333333	0	0	0.00288888888888889
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus"	0.000888888888888889	0.000222222222222222	0	0.000222222222222222	0.000444444444444444	0.000222222222222222	0	0	0	0	0.000222222222222222	0.00133333333333333	0.000444444444444444	0.00133333333333333	0	0.000666666666666667	0.000222222222222222	0	0	0	0.000666666666666667	0	0	0.000888888888888889	0.000444444444444444	0.000444444444444444	0	0.000666666666666667	0	0.000222222222222222	0.00111111111111111	0	0.000222222222222222	0.000666666666666667	0.000666666666666667	0.000444444444444444	0.000222222222222222	0	0.000222222222222222	0.00177777777777778	0	0	0.000888888888888889	0.000222222222222222	0.000444444444444444	0	0.00155555555555556	0.000222222222222222	0	0	0	0	0.000222222222222222	0	0	0.00333333333333333	0	0.000666666666666667	0.000666666666666667	0.000222222222222222	0	0.000222222222222222	0	0	0.000222222222222222	0.002	0	0.160666666666667	0	0.000444444444444444	0	0.000222222222222222	0.000888888888888889	0.000666666666666667	0.00311111111111111	0.000888888888888889	0	0.000222222222222222	0.000444444444444444	0	0	0.00377777777777778	0	0	0.000222222222222222	0.000666666666666667	0.000222222222222222	0	0.000222222222222222	0.000222222222222222	0	0.00333333333333333	0.000777777777777778	0.00155555555555556	0.000444444444444444	0.000222222222222222	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Bilifractor"	0.00177777777777778	0.00222222222222222	0.00222222222222222	0.00244444444444444	0	0.00133333333333333	0.00466666666666667	0.00333333333333333	0.00133333333333333	0.002	0.00177777777777778	0	0.00266666666666667	0.00133333333333333	0.00133333333333333	0.00177777777777778	0.00244444444444444	0.0108888888888889	0.00177777777777778	0.00533333333333333	0.00133333333333333	0.00333333333333333	0.002	0.00266666666666667	0.00266666666666667	0.00288888888888889	0.00222222222222222	0.000222222222222222	0.00222222222222222	0.000888888888888889	0.00355555555555556	0.00311111111111111	0.00222222222222222	0.00488888888888889	0.004	0.00177777777777778	0.002	0.00133333333333333	0.00111111111111111	0.002	0.00111111111111111	0.00388888888888889	0.00133333333333333	0.002	0.000444444444444444	0.00266666666666667	0.00133333333333333	0.000888888888888889	0.00177777777777778	0.000444444444444444	0.00177777777777778	0.00155555555555556	0.00133333333333333	0.00333333333333333	0.00155555555555556	0.000444444444444444	0.00288888888888889	0.000666666666666667	0.000444444444444444	0.00244444444444444	0.000666666666666667	0.000222222222222222	0.00355555555555556	0.000666666666666667	0.002	0.00133333333333333	0.002	0	0.006	0.002	0.00155555555555556	0.000888888888888889	0.000666666666666667	0.00222222222222222	0.00177777777777778	0.000222222222222222	0.00355555555555556	0.00266666666666667	0.00155555555555556	0.00488888888888889	0.00133333333333333	0.000444444444444444	0.00266666666666667	0.000666666666666667	0.000666666666666667	0.000666666666666667	0.002	0.000666666666666667	0.00266666666666667	0.00533333333333333	0.000222222222222222	0.000222222222222222	0.00377777777777778	0.00133333333333333	0.000666666666666667	0.00133333333333333	0.00111111111111111	0.00244444444444444
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Faecalicatena"	0.0311111111111111	0.00644444444444444	0.00533333333333333	0.00444444444444444	0	0.00177777777777778	0.00377777777777778	0.00155555555555556	0.00111111111111111	0.000444444444444444	0.000444444444444444	0	0.00488888888888889	0.00466666666666667	0.00955555555555555	0	0.00288888888888889	0.00133333333333333	0.00977777777777778	0.000888888888888889	0.00711111111111111	0.00288888888888889	0.000444444444444444	0.00133333333333333	0.00222222222222222	0.00266666666666667	0.000888888888888889	0	0.00222222222222222	0.000666666666666667	0	0.00466666666666667	0.000666666666666667	0.000888888888888889	0.00511111111111111	0.0146666666666667	0.004	0.000222222222222222	0.000666666666666667	0.000222222222222222	0	0.00288888888888889	0	0.000666666666666667	0	0.00266666666666667	0.000222222222222222	0	0.00133333333333333	0	0.000666666666666667	0.000444444444444444	0.000222222222222222	0.000666666666666667	0	0.000222222222222222	0.000666666666666667	0.000222222222222222	0	0	0	0	0.00333333333333333	0.000222222222222222	0	0.000666666666666667	0.000888888888888889	0	0.00111111111111111	0	0	0.000444444444444444	0	0.000666666666666667	0.00133333333333333	0.000222222222222222	0.00177777777777778	0	0.000444444444444444	0.00177777777777778	0	0.000444444444444444	0.00177777777777778	0.000222222222222222	0.000444444444444444	0.000222222222222222	0	0.000666666666666667	0.00177777777777778	0.00111111111111111	0.000444444444444444	0	0.000111111111111111	0.00133333333333333	0.00155555555555556	0.00422222222222222	0.000444444444444444	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor"	0.0135555555555556	0.00311111111111111	0.002	0.00511111111111111	0	0.000666666666666667	0.00288888888888889	0.00222222222222222	0.0133333333333333	0.00133333333333333	0.000888888888888889	0	0.00866666666666667	0.000888888888888889	0.00222222222222222	0	0.00222222222222222	0.00422222222222222	0.002	0	0.00422222222222222	0.00222222222222222	0.00177777777777778	0.000222222222222222	0.00266666666666667	0	0.00177777777777778	0	0.000222222222222222	0.00133333333333333	0.004	0.000444444444444444	0.000222222222222222	0.00177777777777778	0.000222222222222222	0.00688888888888889	0.008	0.00155555555555556	0.00111111111111111	0.000888888888888889	0	0	0	0	0	0.000222222222222222	0	0	0.000222222222222222	0	0	0.000666666666666667	0.00155555555555556	0.000222222222222222	0	0	0.000444444444444444	0	0.00133333333333333	0	0.000666666666666667	0.002	0.000444444444444444	0	0.00466666666666667	0.000222222222222222	0	0.00244444444444444	0.00222222222222222	0	0	0.00133333333333333	0	0	0.000888888888888889	0.00155555555555556	0	0	0	0	0	0.0102222222222222	0.000222222222222222	0	0.00111111111111111	0.00511111111111111	0	0	0	0.000222222222222222	0	0.00111111111111111	0	0.00866666666666667	0	0.0106666666666667	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnoclostridium"	0.00111111111111111	0.00155555555555556	0.002	0.00155555555555556	0	0.000888888888888889	0.00111111111111111	0.00177777777777778	0.004	0.000888888888888889	0.00244444444444444	0	0.00177777777777778	0.00133333333333333	0.00177777777777778	0.000888888888888889	0.00111111111111111	0.002	0.00155555555555556	0.00288888888888889	0	0.000666666666666667	0	0.000888888888888889	0.00177777777777778	0.000888888888888889	0.000222222222222222	0.00133333333333333	0.000444444444444444	0.000444444444444444	0.000444444444444444	0	0.000888888888888889	0.000666666666666667	0.00177777777777778	0.000888888888888889	0.000666666666666667	0.00133333333333333	0.00111111111111111	0.00266666666666667	0.000888888888888889	0.00188888888888889	0.00133333333333333	0.000666666666666667	0.000222222222222222	0.00155555555555556	0.000888888888888889	0.000666666666666667	0.00177777777777778	0.000888888888888889	0.000222222222222222	0.000888888888888889	0.000444444444444444	0.004	0.000666666666666667	0.000222222222222222	0.000888888888888889	0.000222222222222222	0.000888888888888889	0.000666666666666667	0.000666666666666667	0.006	0.00177777777777778	0	0.00222222222222222	0.00111111111111111	0.000888888888888889	0.00266666666666667	0.00177777777777778	0.000666666666666667	0.00111111111111111	0.00133333333333333	0.000444444444444444	0.000666666666666667	0.000222222222222222	0.000888888888888889	0.000222222222222222	0.00177777777777778	0	0.00111111111111111	0.000444444444444444	0.00111111111111111	0.00111111111111111	0.000666666666666667	0.000888888888888889	0.002	0.00155555555555556	0.000222222222222222	0.000222222222222222	0.000666666666666667	0	0.000444444444444444	0.00155555555555556	0.00222222222222222	0.000888888888888889	0.00711111111111111	0.000222222222222222	0.000666666666666667
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae|g__Butyricicoccus"	0	0.00333333333333333	0.00222222222222222	0.000444444444444444	0	0	0.00155555555555556	0.00133333333333333	0.00111111111111111	0	0.000222222222222222	0	0.00111111111111111	0	0.00177777777777778	0	0.00155555555555556	0.000666666666666667	0.00511111111111111	0	0	0.000666666666666667	0	0	0.000222222222222222	0	0.000222222222222222	0.000888888888888889	0.00133333333333333	0.000222222222222222	0.00444444444444444	0.00866666666666667	0	0.000444444444444444	0	0	0	0	0.00133333333333333	0.00177777777777778	0	0.000222222222222222	0	0.000222222222222222	0	0.000222222222222222	0.00155555555555556	0	0.00133333333333333	0.000222222222222222	0.00133333333333333	0.000222222222222222	0.000222222222222222	0.00444444444444444	0	0.000444444444444444	0.000888888888888889	0	0.000666666666666667	0.00133333333333333	0.000222222222222222	0.00311111111111111	0.000222222222222222	0.000666666666666667	0.00155555555555556	0.000888888888888889	0	0.002	0.000222222222222222	0	0	0.00444444444444444	0	0.000222222222222222	0.000444444444444444	0.00533333333333333	0	0	0.000666666666666667	0	0	0.00377777777777778	0	0	0.000222222222222222	0.00622222222222222	0	0.000888888888888889	0.00355555555555556	0	0.000444444444444444	0.000888888888888889	0	0.00177777777777778	0	0.00377777777777778	0.000444444444444444	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0.000222222222222222	0	0.00955555555555555	0.000222222222222222	0	0.000444444444444444	0.000222222222222222	0.000666666666666667	0.00511111111111111	0.000222222222222222	0.00133333333333333	0	0.00155555555555556	0.00244444444444444	0.00466666666666667	0.000222222222222222	0	0.000444444444444444	0.002	0.000666666666666667	0.00133333333333333	0.000222222222222222	0.000666666666666667	0.000444444444444444	0.002	0.000888888888888889	0	0	0.00355555555555556	0.000888888888888889	0.000222222222222222	0.00533333333333333	0	0.000222222222222222	0.000222222222222222	0.00133333333333333	0.000666666666666667	0.00111111111111111	0.00177777777777778	0.000666666666666667	0.000444444444444444	0.000666666666666667	0.000222222222222222	0	0	0.000888888888888889	0.000222222222222222	0.000888888888888889	0.00111111111111111	0.000444444444444444	0	0.002	0.00133333333333333	0.000222222222222222	0	0	0.00133333333333333	0.000222222222222222	0.000444444444444444	0.000444444444444444	0.000222222222222222	0	0.002	0.000222222222222222	0.000444444444444444	0	0.000222222222222222	0	0.00155555555555556	0.000222222222222222	0.000222222222222222	0.000222222222222222	0.00133333333333333	0.000444444444444444	0	0	0.000888888888888889	0.000222222222222222	0	0.00111111111111111	0.00155555555555556	0.000444444444444444	0.00155555555555556	0.000888888888888889	0.000444444444444444	0.000444444444444444	0.000888888888888889	0	0.000444444444444444	0.000888888888888889	0	0.00288888888888889	0.000555555555555556	0.00155555555555556	0.000444444444444444	0.00111111111111111	0	0.000444444444444444
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0.000666666666666667	0.000888888888888889	0.000444444444444444	0.00111111111111111	0	0.000666666666666667	0.000222222222222222	0.000444444444444444	0.000444444444444444	0.00311111111111111	0.00222222222222222	0	0.00177777777777778	0.00444444444444444	0.000888888888888889	0	0.000222222222222222	0.000666666666666667	0.000444444444444444	0.000444444444444444	0.004	0.000444444444444444	0.002	0.000666666666666667	0.00377777777777778	0	0	0	0	0.00444444444444444	0.000444444444444444	0	0.000222222222222222	0.000888888888888889	0.00133333333333333	0.0104444444444444	0.00111111111111111	0.00466666666666667	0.000666666666666667	0.000222222222222222	0	0.000222222222222222	0	0	0	0.000888888888888889	0	0.000444444444444444	0.000666666666666667	0	0	0.000888888888888889	0	0	0	0	0.000222222222222222	0.000444444444444444	0.000444444444444444	0.000444444444444444	0	0.000888888888888889	0.000888888888888889	0.000222222222222222	0.00133333333333333	0	0	0	0.000888888888888889	0.000444444444444444	0.000444444444444444	0.000666666666666667	0	0	0.000444444444444444	0.000222222222222222	0.000444444444444444	0.000444444444444444	0	0.000444444444444444	0	0.000222222222222222	0	0.000222222222222222	0.000222222222222222	0.00355555555555556	0.000222222222222222	0	0.000444444444444444	0.000222222222222222	0	0.00288888888888889	0.000444444444444444	0.00555555555555556	0.000222222222222222	0.00355555555555556	0	0.000222222222222222
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Peptococcus"	0.00622222222222222	0.00444444444444444	0	0.00333333333333333	0	0.000888888888888889	0.00244444444444444	0.00155555555555556	0	0.00133333333333333	0.00511111111111111	0	0.000666666666666667	0.00244444444444444	0	0.000222222222222222	0.00622222222222222	0.000222222222222222	0	0.000444444444444444	0.00755555555555556	0.00555555555555556	0.000444444444444444	0.000444444444444444	0.00444444444444444	0.000888888888888889	0.002	0	0	0.00488888888888889	0.000222222222222222	0	0.000222222222222222	0.000222222222222222	0.000666666666666667	0.00422222222222222	0.00133333333333333	0.000666666666666667	0.00111111111111111	0.00155555555555556	0	0.000111111111111111	0	0	0.000444444444444444	0.000222222222222222	0	0	0.000444444444444444	0.000222222222222222	0	0.000222222222222222	0	0	0.000222222222222222	0.000444444444444444	0.000222222222222222	0	0	0.000444444444444444	0	0	0	0	0	0	0	0	0.000222222222222222	0	0	0.000222222222222222	0	0.000444444444444444	0.000222222222222222	0	0	0	0	0	0.000222222222222222	0	0	0	0	0	0	0	0.000444444444444444	0.000222222222222222	0	0	0	0.00133333333333333	0	0.000888888888888889	0	0.000444444444444444
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Butyrivibrio"	0.000444444444444444	0.000888888888888889	0.000666666666666667	0.00222222222222222	0	0.000888888888888889	0.000888888888888889	0.000222222222222222	0.000444444444444444	0	0.000666666666666667	0	0.00177777777777778	0.000444444444444444	0.000888888888888889	0.000222222222222222	0.00111111111111111	0.000888888888888889	0.000666666666666667	0.00355555555555556	0.000444444444444444	0.000888888888888889	0.000666666666666667	0.000666666666666667	0.00111111111111111	0.00111111111111111	0.000444444444444444	0.000444444444444444	0.00155555555555556	0.00111111111111111	0	0.000444444444444444	0.00111111111111111	0	0.00177777777777778	0.000888888888888889	0.00133333333333333	0	0.000444444444444444	0.000888888888888889	0	0.00255555555555556	0.000666666666666667	0.000666666666666667	0	0.00222222222222222	0.00111111111111111	0.000222222222222222	0.00244444444444444	0	0	0.00111111111111111	0.000888888888888889	0	0.000444444444444444	0	0.000666666666666667	0.000444444444444444	0.000222222222222222	0.000222222222222222	0.000444444444444444	0.000222222222222222	0.002	0	0.000666666666666667	0.000888888888888889	0.00155555555555556	0.000222222222222222	0.00244444444444444	0.000888888888888889	0.000222222222222222	0.000444444444444444	0.000222222222222222	0	0.000888888888888889	0.000888888888888889	0.00133333333333333	0	0.000222222222222222	0.00133333333333333	0.000222222222222222	0.00111111111111111	0.00111111111111111	0	0.00222222222222222	0.000666666666666667	0.000444444444444444	0	0.000222222222222222	0.000222222222222222	0	0.00377777777777778	0.00188888888888889	0.00133333333333333	0.000888888888888889	0.00355555555555556	0	0.000222222222222222
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	0.000666666666666667	0.000222222222222222	0	0.00133333333333333	0	0	0.000666666666666667	0.000888888888888889	0.000444444444444444	0.000444444444444444	0.00488888888888889	0	0	0.00377777777777778	0.000222222222222222	0	0.000222222222222222	0.000666666666666667	0	0.000888888888888889	0.00133333333333333	0.000888888888888889	0.00111111111111111	0.000888888888888889	0.00155555555555556	0.000222222222222222	0	0	0	0.00244444444444444	0.000444444444444444	0	0	0.000666666666666667	0.000222222222222222	0.002	0	0.00266666666666667	0.000222222222222222	0	0.000888888888888889	0.000888888888888889	0.000222222222222222	0.000444444444444444	0	0.002	0.000444444444444444	0.00133333333333333	0.00111111111111111	0	0.000222222222222222	0.002	0	0.000222222222222222	0	0.000222222222222222	0.000444444444444444	0.000666666666666667	0.000444444444444444	0.000444444444444444	0.000444444444444444	0	0.002	0.000222222222222222	0.000444444444444444	0	0.000222222222222222	0	0.00155555555555556	0.000888888888888889	0.000888888888888889	0	0.000222222222222222	0.000444444444444444	0.000666666666666667	0	0.00111111111111111	0.00111111111111111	0.000444444444444444	0.000888888888888889	0.000444444444444444	0	0.00155555555555556	0.000444444444444444	0.000666666666666667	0	0.00222222222222222	0.000222222222222222	0.00155555555555556	0.00177777777777778	0	0.000444444444444444	0.000888888888888889	0.000444444444444444	0	0.000222222222222222	0	0.000222222222222222
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Porcincola"	0.000222222222222222	0	0.000222222222222222	0.000444444444444444	0	0.000444444444444444	0.000222222222222222	0.000222222222222222	0.000444444444444444	0.000444444444444444	0.000222222222222222	0	0.000222222222222222	0	0.000444444444444444	0.000666666666666667	0.000222222222222222	0.000444444444444444	0	0.00333333333333333	0.000222222222222222	0.000222222222222222	0.000222222222222222	0.000222222222222222	0	0.000222222222222222	0.000666666666666667	0.00133333333333333	0.000444444444444444	0.000444444444444444	0.000222222222222222	0.000222222222222222	0.00111111111111111	0.000222222222222222	0.000888888888888889	0	0	0	0.000222222222222222	0.000888888888888889	0.000444444444444444	0.00311111111111111	0.00133333333333333	0.00111111111111111	0.000222222222222222	0.00266666666666667	0.000888888888888889	0.000444444444444444	0.000666666666666667	0.000444444444444444	0.000222222222222222	0.000666666666666667	0.000888888888888889	0.000222222222222222	0.000444444444444444	0.000444444444444444	0.000444444444444444	0.000444444444444444	0	0.000666666666666667	0.000666666666666667	0.000222222222222222	0.00133333333333333	0.000222222222222222	0.000888888888888889	0.000888888888888889	0.00133333333333333	0	0.00311111111111111	0.00111111111111111	0.00111111111111111	0.000222222222222222	0.000666666666666667	0.000444444444444444	0.000888888888888889	0.000666666666666667	0.000444444444444444	0.000444444444444444	0.000222222222222222	0.00155555555555556	0.000222222222222222	0.00133333333333333	0.00177777777777778	0.000888888888888889	0.000222222222222222	0.000222222222222222	0	0.000222222222222222	0.000444444444444444	0.000222222222222222	0	0.000222222222222222	0.00211111111111111	0.000666666666666667	0.000666666666666667	0.002	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__"	0.00222222222222222	0.00244444444444444	0.000222222222222222	0.000666666666666667	0	0.000444444444444444	0.000666666666666667	0	0	0	0.00133333333333333	0	0.00244444444444444	0.002	0	0.000222222222222222	0.000222222222222222	0	0	0	0.000888888888888889	0	0	0	0.00377777777777778	0	0.000222222222222222	0	0	0.00111111111111111	0.000444444444444444	0	0	0	0	0.002	0.00111111111111111	0.00111111111111111	0.000888888888888889	0.000888888888888889	0	0	0	0.000444444444444444	0	0	0.000444444444444444	0	0.002	0	0.000666666666666667	0	0.000222222222222222	0.00244444444444444	0	0	0.000222222222222222	0	0.00244444444444444	0.000222222222222222	0	0.00444444444444444	0	0	0	0.000222222222222222	0	0.00111111111111111	0.000222222222222222	0	0.000666666666666667	0.00177777777777778	0	0	0.00133333333333333	0.000666666666666667	0	0	0.000222222222222222	0	0	0.00288888888888889	0	0	0.000222222222222222	0.002	0	0.000222222222222222	0	0	0.000222222222222222	0.000666666666666667	0	0.00466666666666667	0.000222222222222222	0.00222222222222222	0.000666666666666667	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Waltera"	0.000888888888888889	0.000444444444444444	0.002	0.000888888888888889	0	0.000666666666666667	0.000666666666666667	0.000222222222222222	0.000666666666666667	0	0.000888888888888889	0	0.000666666666666667	0.000888888888888889	0.000666666666666667	0.000444444444444444	0.000666666666666667	0.00111111111111111	0.00111111111111111	0.000888888888888889	0.000888888888888889	0.000444444444444444	0.000666666666666667	0	0.00155555555555556	0.000888888888888889	0.000222222222222222	0.000888888888888889	0.00111111111111111	0.000888888888888889	0.000444444444444444	0.000888888888888889	0.000666666666666667	0.000444444444444444	0.000888888888888889	0.000444444444444444	0.000444444444444444	0.000222222222222222	0.000444444444444444	0.00111111111111111	0.000222222222222222	0.00122222222222222	0.000222222222222222	0.000222222222222222	0.000222222222222222	0.00177777777777778	0.000222222222222222	0.000666666666666667	0.000444444444444444	0	0.000222222222222222	0.000444444444444444	0.000222222222222222	0.000444444444444444	0.000444444444444444	0	0.00111111111111111	0.000888888888888889	0.000444444444444444	0.000666666666666667	0	0	0.000444444444444444	0	0.000888888888888889	0.00133333333333333	0.000444444444444444	0.000222222222222222	0.000444444444444444	0.000444444444444444	0.000888888888888889	0.00111111111111111	0	0.000666666666666667	0.000444444444444444	0	0.000888888888888889	0.00155555555555556	0.000222222222222222	0.000444444444444444	0.000222222222222222	0	0.000666666666666667	0	0.000444444444444444	0	0.000222222222222222	0.000222222222222222	0.000888888888888889	0.000444444444444444	0	0.000222222222222222	0.00111111111111111	0.00244444444444444	0	0.00111111111111111	0.000222222222222222	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Hoylesella"	0	0	0.000888888888888889	0	0	0	0	0	0.00111111111111111	0	0	0	0	0	0.00333333333333333	0	0	0	0.00133333333333333	0	0	0.000222222222222222	0	0	0	0	0	0.000888888888888889	0.000888888888888889	0	0	0.00377777777777778	0	0	0	0	0	0	0.000888888888888889	0	0	0.002	0.00511111111111111	0	0.000888888888888889	0.00355555555555556	0	0	0	0.00111111111111111	0	0.002	0.000666666666666667	0	0.000888888888888889	0	0.000444444444444444	0	0	0	0	0	0.00422222222222222	0	0	0.000222222222222222	0	0	0.00311111111111111	0	0	0	0.000666666666666667	0	0.000222222222222222	0	0.00111111111111111	0	0	0.00133333333333333	0.000888888888888889	0	0.00288888888888889	0.00666666666666667	0.000666666666666667	0	0	0	0	0.00111111111111111	0	0	0	0	0.000444444444444444	0	0	0.000444444444444444
